sales_date,product_id,product_category,sales_quantity,unit_price,region,customer_id
2023-04-04,1020,Clothing,8,867.27,North,10468
2023-03-12,1043,Furniture,8,519.32,West,10138
2023-06-26,1048,Clothing,5,466.13,East,10282
2023-05-15,1033,Electronics,10,559.61,North,10136
2023-08-22,1032,Toys,4,699.72,South,10120
2023-04-10,1050,Electronics,4,158.23,South,10333
2023-07-03,1038,Electronics,6,604.86,South,10276
2023-09-22,1003,Clothing,2,12.4,East,10008
2023-08-06,1038,Toys,1,972.87,East,10108
2023-07-31,1044,Electronics,4,741.21,South,10164
2023-09-03,1044,Clothing,6,381.42,West,10479
2023-08-15,1016,Books,1,989.33,South,10382
2023-11-27,1045,Clothing,8,199.55,South,10069
2023-04-05,1012,Books,5,299.75,North,10304
2023-04-09,1036,Toys,6,113.05,East,10489
2023-02-15,1013,Clothing,7,271.96,East,10002
2023-03-31,1033,Books,6,457.95,East,10124
2023-11-10,1023,Toys,10,382.35,East,10013
2023-09-17,1006,Clothing,4,207.71,North,10454
2023-04-30,1021,Toys,9,44.82,East,10493
2023-11-30,1002,Clothing,1,883.02,North,10026
2023-01-21,1030,Toys,3,497.42,East,10320
2023-03-26,1027,Furniture,3,686.34,South,10277
2023-07-12,1039,Clothing,7,680.41,North,10459
2023-11-25,1014,Clothing,8,433.8,North,10053
2023-10-26,1028,Books,7,819.68,East,10422
2023-09-04,1005,Books,6,397.86,South,10468
2023-12-18,1036,Clothing,8,157.94,South,10070
2023-05-20,1045,Electronics,9,788.0,South,10419
2023-04-14,1025,Furniture,9,298.48,North,10211
2023-05-09,1014,Clothing,8,967.69,West,10387
2023-01-11,1008,Clothing,8,475.38,West,10093
2023-11-18,1050,Books,9,547.34,South,10323
2023-06-11,1046,Books,8,930.72,West,10355
2023-12-10,1033,Furniture,2,87.87,West,10205
2023-04-25,1028,Electronics,7,588.95,West,10064
2023-09-05,1004,Electronics,8,741.33,East,10430
2023-01-12,1007,Clothing,1,667.48,East,10065
2023-01-03,1026,Clothing,9,32.33,East,10326
2023-06-15,1046,Toys,4,179.09,East,10372
2023-05-01,1037,Furniture,7,388.62,South,10152
2023-11-08,1044,Books,3,240.1,South,10252
2023-09-02,1003,Clothing,10,663.16,North,10141
2023-09-04,1009,Furniture,6,15.65,East,10464
2023-12-30,1022,Toys,10,641.29,West,10219
2023-11-05,1008,Toys,7,232.83,West,10231
2023-09-03,1033,Clothing,7,826.58,East,10102
2023-04-04,1047,Electronics,6,900.18,West,10476
2023-09-14,1024,Books,10,723.51,East,10083
2023-05-14,1027,Electronics,10,815.26,North,10299
2023-01-05,1002,Clothing,1,682.38,North,10394
2023-12-09,1026,Toys,8,140.08,North,10195
2023-12-15,1010,Books,4,112.52,South,10121
2023-12-06,1027,Toys,7,443.47,East,10174
2023-02-28,1044,Clothing,5,168.78,East,10154
2023-12-14,1012,Books,6,472.56,West,10282
2023-08-17,1026,Electronics,2,345.15,West,10013
2023-09-21,1006,Clothing,2,791.53,East,10304
2023-04-30,1026,Books,3,960.55,South,10474
2023-08-29,1043,Books,3,559.42,South,10428
2023-07-01,1009,Furniture,4,593.05,South,10053
2023-06-29,1010,Furniture,6,697.17,West,10489
2023-10-05,1016,Clothing,10,477.77,North,10388
2023-03-28,1040,Furniture,9,162.46,West,10270
2023-09-15,1007,Toys,9,184.11,South,10288
2023-08-06,1004,Clothing,8,42.29,South,10449
2023-04-16,1027,Books,1,117.15,South,10095
2023-08-17,1045,Furniture,3,798.07,West,10103
2023-05-31,1047,Furniture,3,860.17,South,10044
2023-12-01,1014,Furniture,5,112.57,North,10496
2023-03-14,1044,Books,1,396.28,North,10119
2023-10-27,1002,Furniture,4,583.78,West,10185
2023-01-09,1034,Furniture,2,506.38,East,10076
2023-07-28,1027,Clothing,8,550.89,East,10076
2023-05-13,1033,Clothing,7,900.38,South,10046
2023-07-10,1019,Electronics,3,866.94,South,10451
2023-08-26,1042,Clothing,3,735.69,West,10151
2023-10-13,1013,Furniture,10,849.03,South,10448
2023-02-25,1032,Toys,8,124.21,East,10413
2023-06-01,1047,Books,2,275.81,West,10437
2023-06-22,1033,Toys,8,779.78,North,10102
2023-09-02,1031,Books,4,763.79,East,10012
2023-10-27,1013,Books,10,512.2,West,10244
2023-12-16,1029,Electronics,5,490.95,South,10293
2023-01-20,1001,Electronics,5,58.4,North,10385
2023-11-16,1002,Toys,10,577.48,East,10049
2023-05-04,1028,Electronics,2,395.32,South,10457
2023-09-25,1042,Books,10,527.22,East,10497
2023-05-07,1041,Toys,2,784.12,South,10326
2023-06-24,1018,Clothing,2,595.88,North,10401
2023-09-26,1025,Toys,3,537.54,East,10171
2023-03-12,1035,Furniture,9,175.88,West,10044
2023-03-08,1021,Toys,10,109.27,West,10427
2023-08-16,1033,Books,1,487.45,East,10174
2023-07-26,1017,Clothing,10,102.8,West,10302
2023-05-18,1010,Books,1,970.0,East,10271
2023-02-18,1047,Furniture,5,599.58,West,10227
2023-01-13,1003,Toys,4,377.97,West,10152
2023-11-07,1025,Electronics,6,840.73,North,10335
2023-07-09,1025,Furniture,6,743.48,South,10124
2023-03-06,1015,Furniture,8,704.94,North,10084
2023-02-21,1040,Electronics,1,579.33,West,10408
2023-03-18,1012,Books,1,934.18,North,10219
2023-01-29,1002,Toys,7,497.83,West,10092
2023-02-04,1044,Toys,9,199.11,North,10258
2023-01-25,1019,Toys,3,64.05,North,10058
2023-01-06,1020,Clothing,5,470.35,East,10063
2023-08-27,1017,Clothing,8,868.79,North,10010
2023-04-06,1043,Electronics,3,295.82,West,10297
2023-06-17,1035,Toys,1,256.45,South,10036
2023-06-30,1016,Electronics,6,112.81,East,10039
2023-08-15,1048,Books,8,182.66,South,10053
2023-01-02,1019,Clothing,10,645.89,North,10405
2023-01-24,1014,Toys,10,711.3,South,10314
2023-12-25,1010,Books,5,323.65,North,10490
2023-12-09,1005,Clothing,4,270.04,North,10436
2023-09-10,1048,Furniture,3,628.28,East,10345
2023-07-06,1013,Books,7,645.21,East,10488
2023-12-27,1031,Clothing,10,397.18,East,10083
2023-04-27,1026,Furniture,4,233.6,West,10436
2023-07-13,1019,Toys,1,850.08,North,10413
2023-06-10,1036,Toys,6,70.28,East,10357
2023-06-30,1008,Clothing,1,321.13,West,10381
2023-08-29,1010,Furniture,6,708.96,West,10112
2023-01-29,1016,Clothing,7,577.05,West,10233
2023-11-29,1007,Toys,4,34.83,South,10063
2023-12-30,1027,Books,9,222.64,West,10172
2023-02-10,1036,Clothing,9,646.56,East,10129
2023-05-26,1011,Toys,2,587.93,East,10479
2023-10-18,1017,Clothing,10,135.76,East,10001
2023-09-28,1043,Toys,1,803.31,North,10200
2023-04-06,1020,Furniture,9,160.5,North,10434
2023-05-03,1018,Clothing,7,52.41,North,10287
2023-10-01,1020,Electronics,5,610.25,North,10227
2023-09-04,1037,Toys,9,92.73,South,10053
2023-03-12,1043,Electronics,1,705.73,West,10163
2023-08-05,1039,Electronics,6,44.69,North,10156
2023-08-30,1040,Books,3,757.86,East,10333
2023-08-28,1033,Clothing,6,353.27,West,10388
2023-12-02,1008,Furniture,3,550.23,West,10106
2023-05-18,1024,Electronics,6,422.82,East,10119
2023-07-08,1034,Toys,8,594.36,South,10391
2023-12-01,1023,Books,2,45.12,West,10429
2023-08-07,1025,Toys,5,230.72,West,10429
2023-04-09,1005,Toys,1,464.65,South,10255
2023-01-31,1010,Electronics,7,285.97,South,10132
2023-01-03,1036,Electronics,6,269.4,East,10490
2023-01-21,1030,Clothing,1,584.15,East,10022
2023-12-25,1009,Furniture,7,151.31,East,10290
2023-06-13,1024,Clothing,1,556.67,South,10266
2023-07-02,1047,Toys,4,745.62,South,10244
2023-10-03,1036,Clothing,7,932.92,North,10182
2023-01-25,1025,Toys,3,28.24,West,10423
2023-08-25,1001,Books,7,606.79,South,10082
2023-07-24,1004,Furniture,5,549.55,East,10151
2023-08-23,1011,Electronics,3,800.12,North,10084
2023-04-21,1041,Books,2,665.37,East,10117
2023-02-08,1037,Furniture,3,209.32,North,10261
2023-07-18,1020,Clothing,10,945.4,West,10095
2023-02-26,1045,Furniture,5,355.14,North,10155
2023-09-23,1039,Books,5,700.53,West,10305
2023-03-30,1036,Toys,8,56.05,West,10246
2023-05-04,1041,Furniture,8,54.73,East,10095
2023-06-11,1047,Furniture,5,996.82,West,10324
2023-12-02,1014,Books,5,215.02,North,10348
2023-04-27,1028,Toys,10,96.39,West,10190
2023-09-24,1038,Furniture,7,22.64,North,10483
2023-02-19,1009,Electronics,10,541.34,North,10282
2023-08-15,1017,Electronics,6,541.85,South,10399
2023-09-17,1036,Electronics,9,42.08,North,10469
2023-02-19,1044,Electronics,8,864.65,North,10214
2023-11-10,1001,Electronics,9,929.72,West,10322
2023-02-13,1002,Toys,6,752.12,East,10192
2023-12-26,1011,Clothing,9,381.85,North,10163
2023-12-21,1017,Clothing,10,39.64,South,10190
2023-03-09,1023,Toys,1,929.65,North,10140
2023-11-03,1039,Furniture,6,529.49,South,10052
2023-06-22,1026,Clothing,10,376.59,West,10273
2023-01-31,1032,Furniture,3,368.35,East,10106
2023-12-28,1049,Toys,10,800.44,South,10357
2023-08-08,1011,Toys,1,888.45,East,10036
2023-05-14,1032,Electronics,6,334.76,East,10470
2023-12-31,1003,Electronics,3,816.02,South,10498
2023-10-06,1003,Furniture,3,224.67,East,10275
2023-07-26,1028,Furniture,4,960.19,East,10435
2023-07-12,1045,Electronics,4,724.73,South,10296
2023-12-07,1023,Electronics,6,621.73,North,10297
2023-12-15,1040,Clothing,6,73.28,East,10121
2023-02-03,1013,Furniture,9,646.73,North,10462
2023-04-08,1027,Electronics,3,482.29,East,10103
2023-06-16,1031,Electronics,3,346.09,North,10073
2023-11-08,1041,Toys,3,584.96,West,10432
2023-03-12,1043,Electronics,10,291.15,West,10359
2023-05-06,1028,Toys,7,839.96,East,10343
2023-09-23,1032,Books,10,454.49,West,10327
2023-08-20,1016,Books,4,179.59,West,10194
2023-06-01,1035,Electronics,8,193.7,South,10001
2023-05-26,1030,Clothing,3,258.73,East,10413
2023-07-15,1004,Books,10,235.32,East,10373
2023-04-23,1033,Electronics,10,998.77,West,10099
2023-11-05,1002,Clothing,9,838.61,East,10033
2023-07-07,1030,Furniture,2,952.28,West,10333
2023-04-01,1041,Toys,10,416.41,East,10222
2023-10-21,1046,Furniture,8,714.6,West,10390
2023-01-01,1033,Clothing,2,347.1,South,10475
2023-03-03,1023,Clothing,5,865.21,East,10476
2023-02-17,1021,Books,5,833.68,West,10488
2023-02-04,1022,Toys,1,432.14,North,10163
2023-01-15,1037,Toys,6,35.63,West,10227
2023-06-04,1041,Furniture,7,438.37,South,10002
2023-12-10,1048,Books,9,547.73,South,10198
2023-12-17,1030,Toys,10,439.82,South,10476
2023-09-04,1006,Books,3,913.75,North,10176
2023-12-02,1035,Books,3,623.63,West,10048
2023-11-07,1029,Books,3,500.24,West,10018
2023-09-05,1007,Toys,7,170.86,West,10257
2023-05-29,1008,Furniture,6,158.31,West,10360
2023-02-19,1007,Books,10,253.69,East,10406
2023-08-30,1009,Toys,5,912.67,East,10067
2023-01-01,1015,Toys,3,758.55,North,10206
2023-03-12,1010,Electronics,5,68.62,West,10462
2023-05-15,1005,Clothing,6,203.47,West,10267
2023-09-30,1006,Furniture,7,394.13,North,10404
2023-10-26,1015,Clothing,4,545.77,South,10305
2023-01-02,1024,Toys,5,884.58,East,10257
2023-10-29,1036,Toys,5,206.19,West,10067
2023-12-30,1022,Books,10,784.92,South,10154
2023-07-07,1044,Furniture,5,59.89,West,10407
2023-01-02,1003,Clothing,4,153.2,East,10222
2023-01-23,1038,Books,9,572.98,North,10415
2023-11-03,1045,Clothing,2,466.03,South,10499
2023-05-06,1017,Clothing,1,377.21,South,10299
2023-07-14,1031,Electronics,10,189.99,South,10213
2023-09-01,1021,Furniture,8,832.86,West,10133
2023-06-27,1010,Toys,3,875.96,East,10273
2023-06-02,1033,Furniture,5,674.37,East,10379
2023-08-02,1007,Furniture,6,475.98,South,10122
